"","date_time","stor","inflow","rel","w","available"
"1",1930-01-01,15000,487.6,300,120,15367.6
"2",1930-01-02,15067.6,612.1,300,120,15559.7
"3",1930-01-03,15259.7,737.8,300,120,15877.5
"4",1930-01-04,15577.5,667.2,300,120,16124.7
"5",1930-01-05,15824.7,483.1,300,120,16187.8
"6",1930-01-06,15887.8,448.7,300,120,16216.5
"7",1930-01-07,15916.5,423.7,300,120,16220.2
"8",1930-01-08,15920.2,391.9,300,120,16192.1
"9",1930-01-09,15892.1,397.5,300,120,16169.6
"10",1930-01-10,15869.6,383.3,300,120,16132.9
"11",1930-01-11,15832.9,331,300,120,16043.9
"12",1930-01-12,15743.9,314.7,300,120,15938.6
"13",1930-01-13,15638.6,340.6,300,120,15859.2
"14",1930-01-14,15559.2,310.4,300,120,15749.6
"15",1930-01-15,15449.6,294.1,300,120,15623.7
"16",1930-01-16,15323.7,270.6,300,120,15474.3
"17",1930-01-17,15174.3,227.9,300,120,15282.2
"18",1930-01-18,14982.2,198.2,300,120,15060.4
"19",1930-01-19,14760.4,133.5,300,120,14773.9
"20",1930-01-20,14473.9,96,300,120,14449.9
"21",1930-01-21,14149.9,96,300,120,14125.9
"22",1930-01-22,13825.9,96,300,120,13801.9
"23",1930-01-23,13501.9,96,300,120,13477.9
"24",1930-01-24,13177.9,96,300,120,13153.9
"25",1930-01-25,12853.9,96,300,120,12829.9
"26",1930-01-26,12529.9,96,300,120,12505.9
"27",1930-01-27,12205.9,96,300,120,12181.9
"28",1930-01-28,11881.9,96,300,120,11857.9
"29",1930-01-29,11557.9,96,300,120,11533.9
"30",1930-01-30,11233.9,96,300,120,11209.9
"31",1930-01-31,10909.9,96,300,120,10885.9
"32",1930-02-01,10585.9,114,300,120,10579.9
