"","date_time","lfalls_nat","lfalls_adj","lfalls_obs","lfalls_obs_fc9","lfalls_obs_fc0","sen_outflow","sen_outflow_lagged","jrr_outflow","jrr_outflow_lagged","need_0day","withdr_pot"
"1",1929-10-01,1729,1729,1329,1000,1000,0,0,120,120,0,300
"2",1929-10-02,9954,10074,9737.76,10277.02,9737.76,114.76,114.76,772.900000000001,120,0,451
"3",1929-10-03,17041,17161,16724.46,17494.12,16724.46,12.46,12.46,901,120,0,449
"4",1929-10-04,7876,7996,7551.85,8047.72,7551.85,8.84999999999991,8.84999999999991,623.599999999999,120,0,453
"5",1929-10-05,26580,26700,26251.21,26624.82,26251.21,7.21000000000004,7.21000000000004,499.699999999997,120,0,456
"6",1929-10-06,33580,33700,33230.9,33519.62,33230.9,5.90000000000009,5.90000000000009,413.5,120,0,475
"7",1929-10-07,15590,15710,15208.9,15455.12,15208.9,5.90000000000009,5.90000000000009,371,120,0,507
"8",1929-10-08,8910,9030,8520.57,8744.72,8520.57,5.57000000000016,5.57000000000016,348.599999999999,120,0,515
"9",1929-10-09,6556,6676,6172.57,6381.42,6172.57,5.57000000000016,5.57000000000016,333.300000000003,120,0,509
"10",1929-10-10,4727,4847,4369.25,4570.12,4369.25,5.25,5.25,325,120,0,483
"11",1929-10-11,3811,4583.9,4090.15,3632.22,4090.15,5.25,5.25,319.099999999999,772.900000000001,0,499
"12",1929-10-12,2934,3835,3346.92,2757.72,3346.92,4.92000000000007,4.92000000000007,315.599999999999,901,0,493
"13",1929-10-13,2702,3325.6,2822.52,2507.72,2822.52,4.92000000000007,4.92000000000007,312.599999999999,623.599999999999,0,508
"14",1929-10-14,2539,3038.7,2516.62,2322.82,2516.62,4.92000000000007,4.92000000000007,309.699999999997,499.699999999997,0,527
"15",1929-10-15,2714,3127.5,2620.42,2512.82,2620.42,4.92000000000007,4.92000000000007,309.699999999997,413.5,0,512
"16",1929-10-16,2586,2957,2458.92,2392.62,2458.92,4.92000000000007,4.92000000000007,308.5,371,0,503
"17",1929-10-17,1943,2291.6,1784.52,1465.7924472812,1784.52,4.92000000000007,4.92000000000007,321.5,348.599999999999,0,512
"18",1929-10-18,1796,2129.3,1632.89,1263.9803861033,1632.89,4.59000000000015,4.59000000000015,313.800000000003,333.300000000003,0,501
"19",1929-10-19,1663,1988,1492.59,1097.29407524601,1492.59,4.59000000000015,4.59000000000015,309.699999999997,325,0,500
"20",1929-10-20,1373,1692.1,1187.69,790.366433741461,1187.69,4.59000000000015,4.59000000000015,307.300000000003,319.099999999999,0,509
"21",1929-10-21,1379,1694.6,1196.52,800.532018524209,1196.52,4.92000000000007,4.92000000000007,306.099999999999,315.599999999999,0,503
"22",1929-10-22,1587,1899.6,1507.7,1213.24121417196,1507.7,74.0999999999999,74.0999999999999,476.699999999997,312.599999999999,0,466
"23",1929-10-23,10439,10748.7,10295.37,10552.42,10295.37,19.6700000000001,19.6700000000001,585.300000000003,309.699999999997,0,473
"24",1929-10-24,18440,18749.7,18305.21,18510.42,18305.21,9.51000000000022,9.51000000000022,523.300000000003,309.699999999997,0,454
"25",1929-10-25,70407,70715.5,70277.04,70388.02,70277.04,7.53999999999996,7.53999999999996,425.900000000001,308.5,0,446
"26",1929-10-26,32515,32836.5,32378.06,32438.72,32378.06,6.55999999999995,6.55999999999995,387.599999999999,321.5,0,465
"27",1929-10-27,19224,19537.8,19053.36,19099.82,19053.36,6.55999999999995,6.55999999999995,365.699999999997,313.800000000003,0,491
"28",1929-10-28,13150,13459.7,12987.93,13022.92,12987.93,6.23000000000002,6.23000000000002,349.800000000003,309.699999999997,0,478
"29",1929-10-29,9113,9420.3,8967.53,8994.92,8967.53,6.23000000000002,6.23000000000002,339.800000000003,307.300000000003,0,459
"30",1929-10-30,7119,7425.1,6993.31,7019.12,6993.31,7.21000000000004,7.21000000000004,338,306.099999999999,0,439
"31",1929-10-31,5947,6423.7,5999.23,5851.92,5999.23,8.5300000000002,8.5300000000002,336.800000000003,476.699999999997,0,433
"32",1929-11-01,5020,5605.3,5181.51,4875.02,5181.51,7.21000000000004,7.21000000000004,284.900000000001,585.300000000003,0,431
"33",1929-11-02,4521,5044.3,4617.19,4334.32,4617.19,6.88999999999987,6.88999999999987,246.199999999997,523.300000000003,0,434
"34",1929-11-03,5565,5990.9,5579.59,5717.72,5579.59,18.6900000000001,18.6900000000001,581.599999999999,425.900000000001,0,430
"35",1929-11-04,8650,9037.6,8629.99,9289.72,8629.99,16.3899999999999,16.3899999999999,1062.6,387.599999999999,0,424
